Series,Venue,Date,Batting Team,Bowling Team,Striker,Batting Type,Non-Striker,Bowler,Bowling Proficiency,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Type,Delivery Type,Pitching Line,Pitching Length,Fielder Angle,Fielder Length Ratio,Bounce Angle,Pitch_x,Pitch_y,Friction,Restitution,Crease Position,Crease Position_x,Crease Position_y,Deviation Degree,Drop Angle,Impact Position_x,Impact Position_y,Impact Position_z,Initial Angle,PBR,Reaction Time,Release Position,Release Position_x,Release Position_y,Release Speed,Stump Position,Stump Position_x,Stump Position_y,Swing Degree,Swing Distance,Six Distance
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Mohammed Shami,Right Arm Fast Medium,1,0.1,1,1,0,0,0,49.5,0,0,0,1,1,0,0,1,0,299,0.0,0,0,0,1,0,,,0,FRONTFOOT OFF DRIVE,OUTSWINGER,Outside Off stump,Full Length,,,7.132,5.406,-0.242,0.183,0.601,-8.841,-0.293,0.472,0.029,-11.101,-8.17,-0.284,0.414,-5.978,81.821,0.477,8.341,-0.431,1.962,83.852,-10.06,-0.307,0.566,-2.928,-0.3,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Mohammed Shami,Right Arm Fast Medium,1,0.2,1,2,0,0,0,49.4,0,0,0,1,1,0,0,2,0,298,0.0,0,0,0,2,0,,,0,BACKFOOT PUSH,ANGLED IN,Off stump,Short of Good Length,,,10.109,8.241,-0.018,0.247,0.719,-8.84,0.135,1.045,-0.606,-12.641,-8.043,0.117,0.956,-8.571,93.179,0.483,8.34,-0.48,1.927,82.674,-10.06,0.163,1.168,-1.495,-0.127,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Mohammed Shami,Right Arm Fast Medium,1,0.3,1,3,0,0,0,49.3,0,0,0,1,1,0,0,3,0,297,0.0,0,0,0,3,0,,,0,CUT SHOT,STRAIGHT BALL,Outside Off stump,Short of Good Length,,,9.194,8.018,-0.44,0.245,0.673,-8.841,-0.441,0.902,-0.344,-12.347,-999.9,-999.9,-999.9,-8.743,86.517,0.548,8.341,-0.572,1.951,82.037,-10.06,-0.441,1.008,-0.761,-0.066,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Mohammed Shami,Right Arm Fast Medium,1,0.4,1,4,0,0,0,49.2,0,0,0,1,1,0,0,4,0,296,0.0,0,0,0,4,0,,,0,STEP DOWN COVER DRIVE,OUTSWINGER,Outside Off stump,Good Length,,,7.759,7.231,-0.506,0.184,0.602,-8.841,-0.542,0.686,-0.743,-11.975,-999.9,-999.9,-999.9,-7.357,81.929,0.535,8.341,-0.585,1.923,85.356,-10.06,-0.549,0.774,0.015,-0.126,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Mohammed Shami,Right Arm Fast Medium,1,0.5,1,5,0,0,0,49.1,0,0,0,1,1,0,0,5,0,295,0.0,0,0,0,5,0,,,0,FORWARD DEFENCE,ANGLED IN,Outside Off stump,Good Length,,,8.525,7.286,-0.273,0.197,0.599,-8.841,-0.01,0.745,-0.033,-13.06,-7.992,-0.047,0.668,-4.942,80.179,0.487,8.341,-0.734,1.76,82.268,-10.06,0.045,0.842,0.167,0.016,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Mohammed Shami,Right Arm Fast Medium,1,0.6,1,6,0,0,0,49.0,0,0,0,1,1,0,0,6,0,294,0.0,0,0,0,6,0,,,0,CUT SHOT,STRAIGHT BALL,Outside Off stump,Short of Good Length,,,9.458,9.028,-0.368,0.21,0.659,-8.841,-0.435,1.026,-0.249,-13.07,-8.528,-0.432,0.998,-9.505,87.863,0.509,8.341,-0.523,1.893,81.293,-10.06,-0.446,1.122,-2.257,-0.178,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Harshit Rana,Right Arm Fast Medium,1,1.1,2,1,0,0,0,48.5,0,0,0,1,1,0,0,7,0,293,0.0,0,0,0,1,0,,,0,BACKFOOT DEFENCE,ANGLED IN,Outside Off stump,Short of Good Length,,,11.027,8.727,0.475,0.19,0.73,-8.841,0.594,1.212,1.212,-13.786,-999.9,-999.9,-999.9,-10.946,100.486,0.559,8.341,0.781,2.138,83.974,-10.06,0.614,1.348,2.853,0.23,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Harshit Rana,Right Arm Fast Medium,1,1.2,2,2,0,0,0,48.4,0,0,0,1,1,0,0,8,0,292,0.0,0,0,0,2,0,,,0,BACKFOOT DEFENCE,ANGLED IN,Outside Off stump,Short of Good Length,,,9.146,8.057,0.347,0.201,0.642,-8.841,0.339,0.916,0.831,-13.043,-8.688,0.34,0.901,-9.509,86.241,0.496,8.341,0.765,2.087,84.632,-10.06,0.338,1.024,2.733,0.237,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Harshit Rana,Right Arm Fast Medium,1,1.3,2,3,3,0,3,48.3,0,0,0,1,1,0,0,9,0,291,2.0,0,3,0,3,3,,,0,CUT SHOT,STRAIGHT BALL,Outside Off stump,Short of Good Length,356.2187,1.05,9.329,7.981,0.485,0.177,0.678,-8.841,0.538,0.937,0.758,-12.741,-9.184,0.54,0.971,-9.594,93.928,0.508,8.341,0.801,2.082,84.633,-10.06,0.547,1.053,2.707,0.239,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,1.4,2,4,4,0,7,48.2,0,0,0,1,1,0,0,10,0,290,4.2,0,4,1,7,4,,,0,BACKFOOT COVERDRIVE,STRAIGHT BALL,Outside Off stump,Short of Good Length,167.6651,1.17,10.132,9.131,-0.641,0.176,0.689,-8.841,-0.363,1.174,0.154,-13.546,-8.194,-0.386,1.102,-11.147,95.701,0.475,8.341,-0.771,2.058,86.925,-10.06,-0.318,1.296,1.93,0.152,-1.0
